,nomes,idade,cidade,estado,cpf,cnpj,cpf_valido,cnpj_valido
1015,Austin Brennan,62,ACAUÃ,PI,49489279102,07282821408106,True,True
1016,Bruce Maldonado,58,ABATIÁ,PR,80885895681,65290643170408,True,True
1017,Andrew Allen,50,ANGRA DOS REIS,RJ,40852188242,40714019835372,True,True
1018,Troy Francis,48,ACARI,RN,33746426910,44188493136940,True,True
1019,Patrick Ayala Iii,19,ALTA FLORESTA D'OESTE,RO,43295082227,66139424853037,True,True
1020,David Garcia,77,AMAJARI,RR,38132812050,26984004478606,True,True
1021,Deanna Sparks,34,ACEGUÁ,RS,10275571718,40565451216878,True,True
1022,Tiffany Myers,70,ABDON BATISTA,SC,18804239280,85232577864607,True,True
1023,Jonathan Lane,62,AMPARO DE SÃO FRANCISCO,SE,54135377947,17086000015504,True,True
1024,Katherine Vasquez,54,ADAMANTINA,SP,82358803189,63433628010406,True,True
1025,Travis Crawford,61,ABREULÂNDIA,TO,22173591185,41031315640247,True,True
1026,Jonathan Burns,52,ACRELÂNDIA,AC,18052823870,22553391643706,True,True
1027,Christopher Medina,72,ÁGUA BRANCA,AL,88214350247,72250180496362,True,True
1028,Kathy Avila,24,ALVARÃES,AM,64466717419,61583089632114,True,True
1029,Teresa Hamilton,79,SERRA DO NAVIO,AP,17665958630,05050328037056,True,True
1030,Catherine Crawford,49,ABAÍRA,BA,26286352759,49592029379084,True,True
1031,Amanda Phillips,76,ABAIARA,CE,94390778838,94578061972160,True,True
1032,Jared Patton,27,BRASÍLIA,DF,64366960672,95463225525668,True,True
1033,Juan Decker,69,AFONSO CLÁUDIO,ES,56475884251,41501559072256,True,True
1034,Scott Thomas,72,ABADIA DE GOIÁS,GO,57439226917,07642398633900,True,True
1035,Patricia Barton,57,AÇAILÂNDIA,MA,70833512609,99740144901882,True,True
1036,Tina Lee,74,ABADIA DOS DOURADOS,MG,86796259220,20927338292398,True,True
1037,Ronald Freeman,60,ÁGUA CLARA,MS,68541600572,49445713518769,True,True
1038,Nicholas Goodman,85,ACORIZAL,MT,96258320252,46058484859059,True,True
1039,Lauren Gonzalez,21,ABAETETUBA,PA,97783249485,73548310634630,True,True
1040,Erica Smith,43,ÁGUA BRANCA,PB,48325275928,18611118306385,True,True
1041,Susan Krause,25,ABREU E LIMA,PE,46925679025,02821144621910,True,True
1042,Sandra Moore,32,ACAUÃ,PI,04810164225,56883016827898,True,True
1043,Donald Hinton,43,ABATIÁ,PR,21343829704,50369111314835,True,True
1044,Ethan Klein,32,ANGRA DOS REIS,RJ,31793877343,49979266950808,True,True
1045,Jeremy Meyer,73,ACARI,RN,20711065802,78968617826430,True,True
1046,Diana Johnson,26,ALTA FLORESTA D'OESTE,RO,51584628600,31830727164076,True,True
1047,James Daniels,42,AMAJARI,RR,52230800175,88671522068801,True,True
1048,Charles Thompson,22,ACEGUÁ,RS,21283030608,84688440542227,True,True
1049,Joseph Hawkins,33,ABDON BATISTA,SC,67925174102,03904234520660,True,True
1050,Heather Suarez,30,AMPARO DE SÃO FRANCISCO,SE,16713727352,11416428347160,True,True
1051,Carla Hinton,84,ADAMANTINA,SP,66137153525,93420076416418,True,True
1052,Karen Nguyen,62,ABREULÂNDIA,TO,19093002252,41467569646243,True,True
1053,Jon Levy,75,ACRELÂNDIA,AC,27743421635,43874897861697,True,True
1054,David Taylor,25,ÁGUA BRANCA,AL,15388913287,54019953783990,True,True
1055,James Frank,64,ALVARÃES,AM,01906493219,03488971979370,True,True
1056,Audrey Schmidt,82,SERRA DO NAVIO,AP,37866264058,06358323536216,True,True
1057,Amy Goodwin,45,ABAÍRA,BA,23159673090,41071561034225,True,True
1058,Michael Butler,20,ABAIARA,CE,79001743706,93922077084956,True,True
1059,Eduardo Moore,67,BRASÍLIA,DF,17691643918,27269046355100,True,True
1060,Jordan Lang,47,AFONSO CLÁUDIO,ES,20937298735,34101005654084,True,True
1061,Laura Simmons,75,ABADIA DE GOIÁS,GO,04831174980,15391722232998,True,True
1062,Christina Harrison,62,AÇAILÂNDIA,MA,16930224944,07460827850007,True,True
1063,Michael Savage,31,ABADIA DOS DOURADOS,MG,78043663025,49625253485488,True,True
1064,Jacob Contreras,47,ÁGUA CLARA,MS,42920754416,66659846577761,True,True
1065,Christopher Hoffman,38,ACORIZAL,MT,42500732622,04945307072109,True,True
1066,Brady Peters,45,ABAETETUBA,PA,78552365898,51729038838495,True,True
1067,Thomas Nunez,21,ÁGUA BRANCA,PB,96596313328,92150684927580,True,True
1068,Sarah Cox,76,ABREU E LIMA,PE,25647588786,07766659023496,True,True
1069,Allen Douglas,57,ACAUÃ,PI,25929015074,06151761438460,True,True
1070,John King,57,ABATIÁ,PR,87492594828,10287502422788,True,True
1071,Julia Salas,30,ANGRA DOS REIS,RJ,03202520199,15234777202149,True,True
1072,Matthew Golden,23,ACARI,RN,03338061749,16820321621797,True,True
1073,Derek Wolf,36,ALTA FLORESTA D'OESTE,RO,72442957582,61323277174059,True,True
1074,Ruth Wilson,25,AMAJARI,RR,24768388965,98613227190640,True,True
1075,Tina Ellison,81,ACEGUÁ,RS,44220703390,44717746699220,True,True
1076,Linda Berg,47,ABDON BATISTA,SC,23802498577,25578155845866,True,True
1077,Mark Smith,34,AMPARO DE SÃO FRANCISCO,SE,17827268536,01305448799605,True,True
1078,Tyrone Eaton,40,ADAMANTINA,SP,78115195189,24712248450696,True,True
1079,Adrienne Carlson Dvm,31,ABREULÂNDIA,TO,14600134680,50337815060387,True,True
1080,Carlos Kennedy,19,ACRELÂNDIA,AC,54672655806,78227072098899,True,True
1081,Daniel Jenkins,25,ÁGUA BRANCA,AL,45850435514,81531408922668,True,True
1082,Joseph Acosta,83,ALVARÃES,AM,37059089950,63483032308665,True,True
1083,Theodore Herrera,49,SERRA DO NAVIO,AP,45774047105,95645431944667,True,True
1084,Richard Murphy,30,ABAÍRA,BA,45461297692,22584826264592,True,True
1085,Katrina Beasley,25,ABAIARA,CE,49431761947,67038100452321,True,True
1086,Janice Meadows,71,BRASÍLIA,DF,84322559808,60093581275877,True,True
1087,Kaitlyn Obrien,63,AFONSO CLÁUDIO,ES,95879581608,14609829901599,True,True
1088,Edward Sutton,48,ABADIA DE GOIÁS,GO,99751742803,30629978065123,True,True
1089,Megan Brown,24,AÇAILÂNDIA,MA,62263085831,10237706763374,True,True
1090,Alexander Gutierrez,74,ABADIA DOS DOURADOS,MG,32503621317,24779889395462,True,True
1091,Christine Lewis,68,ÁGUA CLARA,MS,79930981306,41378686729950,True,True
1092,Ronnie Foster,40,ACORIZAL,MT,47959130213,01033114230520,True,True
1093,Emily Matthews,32,ABAETETUBA,PA,85020990604,10494649625771,True,True
1094,Sylvia Torres,55,ÁGUA BRANCA,PB,81958316806,47903629736110,True,True
1095,Stephen Page,53,ABREU E LIMA,PE,69570887826,95888839269830,True,True
1096,Misty Garcia,59,ACAUÃ,PI,30960462120,68023800434757,True,True
1097,Robert Ward,30,ABATIÁ,PR,10772242577,42990671333757,True,True
1098,Lauren Aguirre,49,ANGRA DOS REIS,RJ,22425606890,81755934746536,True,True
1099,Paul Johnson,81,ACARI,RN,79467849704,51889215478607,True,True
1100,Danny Martinez,18,ALTA FLORESTA D'OESTE,RO,92227014296,99636156679581,True,True
1101,Jacqueline Kim,36,AMAJARI,RR,85053558906,29512054851657,True,True
1102,Steven Weber,34,ACEGUÁ,RS,69925183480,98190800319954,True,True
1103,Austin Stephens,35,ABDON BATISTA,SC,70595573002,36489834247392,True,True
1104,Michael Schneider,59,AMPARO DE SÃO FRANCISCO,SE,48777446810,56203002163945,True,True
1105,Dennis Harris,82,ADAMANTINA,SP,73873653265,99966675602203,True,True
1106,Matthew Burton,26,ABREULÂNDIA,TO,57292187374,48890933964437,True,True
1107,Amanda Rogers,89,ACRELÂNDIA,AC,15530729606,38731934419290,True,True
1108,Logan Silva,80,ÁGUA BRANCA,AL,28958843900,27387743461608,True,True
1109,Tiffany Mosley,49,ALVARÃES,AM,81203622171,26387020117007,True,True
1110,Karl Stanley,67,SERRA DO NAVIO,AP,52494125308,54840462402104,True,True
1111,Joseph Meadows,81,ABAÍRA,BA,18904668409,19766999987381,True,True
1112,Eric Mendez,85,ABAIARA,CE,53310565203,82055481578956,True,True
1113,Jacob Becker,47,BRASÍLIA,DF,70653088809,29129690523184,True,True
1114,David Owens,53,AFONSO CLÁUDIO,ES,17464514084,25454927587204,True,True
1115,Autumn Adams,50,ABADIA DE GOIÁS,GO,91959502654,50526722444700,True,True
1116,Jessica Williams,87,AÇAILÂNDIA,MA,99752843530,65247923353007,True,True
1117,April Banks,67,ABADIA DOS DOURADOS,MG,04893902857,53344526121459,True,True
1118,Michele Pittman,64,ÁGUA CLARA,MS,21395576386,06254696921230,True,True
1119,Kenneth Pena,33,ACORIZAL,MT,24100200200,84564312078494,True,True
1120,Christine Holden,49,ABAETETUBA,PA,11417059826,52935533776809,True,True
1121,Jacob Lane,70,ÁGUA BRANCA,PB,57991647331,49979098862129,True,True
1122,Steven Swanson,36,ABREU E LIMA,PE,08565902820,57097655114312,True,True
1123,Jesus Roy,64,ACAUÃ,PI,32346434744,50220155938681,True,True
1124,Tiffany Miller,38,ABATIÁ,PR,31180842430,12029378451964,True,True
1125,Catherine Salazar,27,ANGRA DOS REIS,RJ,12531050655,35432074886597,True,True
1126,Maureen Campbell,36,ACARI,RN,23417777674,65345663003885,True,True
1127,David Elliott Md,44,ALTA FLORESTA D'OESTE,RO,58194534410,83321187135597,True,True
1128,Kristi Hampton,68,AMAJARI,RR,75257617285,80719947558324,True,True
1129,Jessica Evans,19,ACEGUÁ,RS,26043618680,12261662719522,True,True
1130,Mandy Morgan,19,ABDON BATISTA,SC,27729805880,16090960702310,True,True
1131,Daniel Terry,40,AMPARO DE SÃO FRANCISCO,SE,32330275080,84784974835270,True,True
1132,Alexander Beck,77,ADAMANTINA,SP,34512293400,93737052937977,True,True
1133,John Lowe,49,ABREULÂNDIA,TO,21133347207,70839406898217,True,True
1134,Kimberly Mueller,21,ACRELÂNDIA,AC,39708372277,10956606870218,True,True
1135,Samuel Fields,81,ÁGUA BRANCA,AL,79771002317,97859985317930,True,True
1136,Kristina Cook,87,ALVARÃES,AM,49221647749,38346270502810,True,True
1137,Peggy Lopez,53,SERRA DO NAVIO,AP,35114258320,94358770715676,True,True
1138,Mrs. Kimberly Carlson,47,ABAÍRA,BA,34110419603,20185808665922,True,True
1139,Robert Guerrero,58,ABAIARA,CE,06134348201,46979223095349,True,True
1140,James Banks Jr.,41,BRASÍLIA,DF,84667161493,34941158111923,True,True
1141,Jessica Russell,25,AFONSO CLÁUDIO,ES,35800387109,74945467314080,True,True
1142,Megan Holmes,38,ABADIA DE GOIÁS,GO,20628464444,51616832848223,True,True
1143,Meghan Nelson,59,AÇAILÂNDIA,MA,24866897457,50663448198338,True,True
1144,Deanna Ramirez,62,ABADIA DOS DOURADOS,MG,58068771247,05758494234931,True,True
1145,Arthur Ochoa,28,ÁGUA CLARA,MS,21075065402,05515675450478,True,True
1146,Belinda Romero,57,ACORIZAL,MT,84209667625,37048343776797,True,True
1147,Kristina Moore,73,ABAETETUBA,PA,52626767310,52862373016764,True,True
1148,Justin Gutierrez,43,ÁGUA BRANCA,PB,49425384673,05181498247988,True,True
1149,Becky Davis,70,ABREU E LIMA,PE,98638522363,07973258069075,True,True
1150,Jason Kelley,79,ACAUÃ,PI,49173808636,15438336583022,True,True
1151,Eric Johnson,27,ABATIÁ,PR,17333487199,10732757103950,True,True
1152,Steven Williams,19,ANGRA DOS REIS,RJ,85326353342,36725106076937,True,True
1153,Michael Rodriguez,23,ACARI,RN,99102084821,94563433595100,True,True
1154,Anthony Jones,40,ALTA FLORESTA D'OESTE,RO,84872656776,59186253137018,True,True
1155,Brian Singleton,56,AMAJARI,RR,78327267922,54472467604506,True,True
1156,Amanda Shaw,23,ACEGUÁ,RS,93766045121,74646501180818,True,True
1157,Patrick Moyer,39,ABDON BATISTA,SC,54792715806,34832107437133,True,True
1158,Debra Howe,24,AMPARO DE SÃO FRANCISCO,SE,34033642242,32912495211597,True,True
1159,Kenneth Montoya,88,ADAMANTINA,SP,14214608313,45235439762651,True,True
1160,Matthew Montoya,31,ABREULÂNDIA,TO,00195100980,62356360944895,True,True
1161,Michael Matthews,40,ACRELÂNDIA,AC,63577850590,42762138423133,True,True
1162,Charles Chang,55,ÁGUA BRANCA,AL,89532451250,50135597717704,True,True
1163,David Pennington,50,ALVARÃES,AM,63219670768,70104849916420,True,True
1164,Antonio Day,67,SERRA DO NAVIO,AP,24455994319,07345221616680,True,True
1165,Stephanie Gillespie,47,ABAÍRA,BA,54695432773,94934871598234,True,True
1166,Linda Green,65,ABAIARA,CE,17021050402,91322705406993,True,True
1167,Jesus Macias,29,BRASÍLIA,DF,46387117909,60665153552549,True,True
1168,Julie Zhang,79,AFONSO CLÁUDIO,ES,62685361260,94237328991370,True,True
1169,Andrew Bush,66,ABADIA DE GOIÁS,GO,23886245764,14286327448217,True,True
1170,Michelle Bartlett,22,AÇAILÂNDIA,MA,48861123074,07244859827677,True,True
1171,John Lang,67,ABADIA DOS DOURADOS,MG,14959778202,84401983323765,True,True
1172,Andrew Freeman,47,ÁGUA CLARA,MS,06510957868,43158295934371,True,True
1173,Melissa Andrews,21,ACORIZAL,MT,53211117156,45725018371170,True,True
1174,Mary Baldwin,24,ABAETETUBA,PA,50374313792,10974518360208,True,True
1175,Krystal Jefferson,67,ÁGUA BRANCA,PB,49185218278,07691653936125,True,True
1176,Jennifer Duncan,44,ABREU E LIMA,PE,59776370047,09484318524401,True,True
1177,Chad Miller,53,ACAUÃ,PI,85687709169,76040851767447,True,True
1178,Sheila Bauer,78,ABATIÁ,PR,57075238981,36693308658307,True,True
1179,James English,87,ANGRA DOS REIS,RJ,68242790647,13729215468094,True,True
1180,Kathryn Flowers,61,ACARI,RN,56255987701,95205371939668,True,True
1181,Lisa Marks,27,ALTA FLORESTA D'OESTE,RO,32039561447,54336478140554,True,True
1182,Dylan Walker,60,AMAJARI,RR,89171074864,30883424034783,True,True
1183,Robert Mcknight,81,ACEGUÁ,RS,14477779488,74171224844937,True,True
1184,Laura Nguyen,26,ABDON BATISTA,SC,56614619179,51845020897463,True,True
1185,Michael Christensen,65,AMPARO DE SÃO FRANCISCO,SE,08367827554,48625171710857,True,True
1186,Andrew Lee,43,ADAMANTINA,SP,96189867561,07817350589201,True,True
1187,Jamie Patterson,38,ABREULÂNDIA,TO,84854025883,71763932885810,True,True
1188,Stephen Jones,24,ACRELÂNDIA,AC,19810829485,45502502217808,True,True
1189,Jonathan Goodman,59,ÁGUA BRANCA,AL,87249981927,63024161709410,True,True
1190,Danielle Valdez,18,ALVARÃES,AM,65956355778,11993454202935,True,True
1191,Pamela Russell,19,SERRA DO NAVIO,AP,84362351930,31070868763250,True,True
1192,Brandon Chen,77,ABAÍRA,BA,73981454383,06424241501275,True,True
1193,Christian Vargas,20,ABAIARA,CE,66643153867,64216842494497,True,True
1194,Jonathan Brown,46,BRASÍLIA,DF,24676665300,44953495804841,True,True
1195,Alexandra Carpenter Md,83,AFONSO CLÁUDIO,ES,18246393413,41093220847430,True,True
1196,Robert Adams,52,ABADIA DE GOIÁS,GO,50891115374,66821801123040,True,True
1197,Michael Massey,90,AÇAILÂNDIA,MA,30497209489,16318369276506,True,True
1198,Jeffrey Morris,62,ABADIA DOS DOURADOS,MG,14744349838,80063017953310,True,True
1199,Antonio Holland,78,ÁGUA CLARA,MS,67309411625,44444318958209,True,True
1200,Nathan Acevedo,34,ACORIZAL,MT,13776824395,86718715348791,True,True
1201,Dustin Lam,43,ABAETETUBA,PA,48933187138,24487833201338,True,True
1202,Kyle Oconnor,27,ÁGUA BRANCA,PB,96703985170,12463820052913,True,True
1203,Donald Evans,20,ABREU E LIMA,PE,30545837081,57348225072810,True,True
1204,Lauren Walker,41,ACAUÃ,PI,68161302600,06669381645809,True,True
1205,Jeffrey Powell,54,ABATIÁ,PR,47390921072,81305452082139,True,True
1206,Jeffrey Velasquez,63,ANGRA DOS REIS,RJ,47495541113,36008832660371,True,True
1207,Jeremy Johnson,74,ACARI,RN,29699272503,77058417140063,True,True
1208,Michael Coleman,20,ALTA FLORESTA D'OESTE,RO,71770375600,99234628907890,True,True
1209,Bradley Smith,45,AMAJARI,RR,96360369850,45430989443526,True,True
1210,Matthew Bennett,27,ACEGUÁ,RS,18419678660,12906040921761,True,True
1211,Crystal Turner,87,ABDON BATISTA,SC,46093376222,20210125080831,True,True
1212,Alice Smith,90,AMPARO DE SÃO FRANCISCO,SE,11653658630,70404580566587,True,True
1213,Dennis Pearson,68,ADAMANTINA,SP,99047083717,16423398848183,True,True
1214,Deborah Ross,85,ABREULÂNDIA,TO,96778051507,45155130499349,True,True
1215,Jeff Zuniga,72,ACRELÂNDIA,AC,01395704201,69307815542600,True,True
1216,Mario Romero,26,ÁGUA BRANCA,AL,51421148846,70671891461328,True,True
1217,Edwin Leach,39,ALVARÃES,AM,28736108081,20140922853007,True,True
1218,Julie Bruce,23,SERRA DO NAVIO,AP,98527153211,14308344473407,True,True
1219,Matthew Hale,44,ABAÍRA,BA,52600476806,24048478218023,True,True
1220,William Miranda,50,ABAIARA,CE,36690235777,27458137484679,True,True
1221,Manuel Perez,84,BRASÍLIA,DF,07331286617,91032736277328,True,True
1222,Christina Dunn,78,AFONSO CLÁUDIO,ES,36967037374,22684092205770,True,True
1223,Gary Hughes,60,ABADIA DE GOIÁS,GO,80548191107,25135793609327,True,True
1224,Catherine Gonzalez,36,AÇAILÂNDIA,MA,30855172355,78273369885418,True,True
1225,Heather Mcconnell,62,ABADIA DOS DOURADOS,MG,94679800887,08037362670210,True,True
1226,Robert Bautista,76,ÁGUA CLARA,MS,87256725175,42364282603012,True,True
1227,Jeremy Vasquez,59,ACORIZAL,MT,60522985963,25411094509066,True,True
1228,Oscar Lawrence,23,ABAETETUBA,PA,47046219796,52786710748537,True,True
1229,Jamie Sandoval,41,ÁGUA BRANCA,PB,35762441407,98791076787934,True,True
1230,Olivia Chavez,72,ABREU E LIMA,PE,20146495373,06702028808251,True,True
1231,Jacob Rich,34,ACAUÃ,PI,53475602660,77473362571709,True,True
1232,Margaret Blackwell,77,ABATIÁ,PR,46440076175,43515574066718,True,True
1233,Dr. Kyle Dawson,23,ANGRA DOS REIS,RJ,98026240391,13117798424305,True,True
1234,Herbert Romero,20,ACARI,RN,25783421995,04662418160317,True,True
1235,Chelsea Acosta,47,ALTA FLORESTA D'OESTE,RO,71797382632,97903983357600,True,True
1236,Lawrence Carter,73,AMAJARI,RR,15405216305,34993945244714,True,True
1237,Kyle Baxter,75,ACEGUÁ,RS,05391480671,86886594210175,True,True
1238,Becky Simmons,58,ABDON BATISTA,SC,85110474842,43091921704435,True,True
1239,Anthony Baxter,65,AMPARO DE SÃO FRANCISCO,SE,00600232875,79273865675200,True,True
1240,Stacy Scott,90,ADAMANTINA,SP,84776268639,86729500981665,True,True
1241,Allen Richardson,31,ABREULÂNDIA,TO,27452402502,89797055557344,True,True
1242,Karen Rice,87,ACRELÂNDIA,AC,86267023885,58459912425700,True,True
1243,Richard Richards,42,ÁGUA BRANCA,AL,13749794308,97849402845580,True,True
1244,Cody Donaldson,87,ALVARÃES,AM,00360014224,47507776934304,True,True
1245,Sarah Hudson,18,SERRA DO NAVIO,AP,53834968900,97343359534661,True,True
1246,David Wade,84,ABAÍRA,BA,93531274244,80933059140690,True,True
1247,Scott Fry,80,ABAIARA,CE,48235724162,01346678453813,True,True
1248,Kathleen Williams,32,BRASÍLIA,DF,70091512964,09107394133890,True,True
1249,Hannah James,40,AFONSO CLÁUDIO,ES,48493425230,34170092305108,True,True
1250,Anthony Gregory,20,ABADIA DE GOIÁS,GO,90896725081,78269597511760,True,True
1251,Tina Myers,33,AÇAILÂNDIA,MA,44812374812,45353174707326,True,True
1252,Kerry Velasquez,29,ABADIA DOS DOURADOS,MG,86564107099,45220504788046,True,True
1253,Benjamin Smith,62,ÁGUA CLARA,MS,83643506503,34350236429419,True,True
1254,Willie Gonzales,74,ACORIZAL,MT,87253753933,45346484460598,True,True
1255,Matthew Dodson,62,ABAETETUBA,PA,16443167490,51953481898936,True,True
1256,Kristin Pugh,18,ÁGUA BRANCA,PB,48527655020,16564757445000,True,True
1257,Betty Silva,28,ABREU E LIMA,PE,66901657951,87381762699388,True,True
1258,Michael Arroyo,82,ACAUÃ,PI,22780767286,23508086679514,True,True
1259,Heather Miranda,47,ABATIÁ,PR,46538410715,67514836401252,True,True
1260,Rachel Miller,64,ANGRA DOS REIS,RJ,83125548586,99719439478770,True,True
1261,Scott Scott Dvm,56,ACARI,RN,72145543805,05237035812965,True,True
1262,Justin Kelly,62,ALTA FLORESTA D'OESTE,RO,91375118587,87523330511667,True,True
1263,Lori Miller,40,AMAJARI,RR,39484086969,37273016861256,True,True
1264,Stephen Reynolds,64,ACEGUÁ,RS,07382994805,17346919518664,True,True
1265,Jill Burnett,72,ABDON BATISTA,SC,18924987666,06815177853281,True,True
1266,Michelle Weber,42,AMPARO DE SÃO FRANCISCO,SE,35001818486,64132681179345,True,True
1267,Jennifer Reyes,59,ADAMANTINA,SP,75455408240,98169954356908,True,True
1268,Louis Grimes,44,ABREULÂNDIA,TO,41355764432,49830633139033,True,True
1269,Kevin Meyer,58,ACRELÂNDIA,AC,62110494638,94286258623970,True,True
1270,David Phillips,63,ÁGUA BRANCA,AL,88713342304,34566091000653,True,True
1271,Nancy Bishop,52,ALVARÃES,AM,23739539780,69294779562795,True,True
1272,Mr. Charles Hoffman Md,22,SERRA DO NAVIO,AP,89126816563,15510266723420,True,True
1273,Jessica Hernandez,66,ABAÍRA,BA,11022737325,65987028131557,True,True
1274,Anna White,48,ABAIARA,CE,82193022836,53197528686800,True,True
1275,Bryan Jones,76,BRASÍLIA,DF,04756489869,58389670393000,True,True
1276,Austin Smith,60,AFONSO CLÁUDIO,ES,78215299580,68547705136816,True,True
1277,Thomas Joseph,44,ABADIA DE GOIÁS,GO,25381511981,15235535792384,True,True
1278,James White,61,AÇAILÂNDIA,MA,29091801310,49434972743992,True,True
1279,Terry Dyer,55,ABADIA DOS DOURADOS,MG,93614619311,91651646415807,True,True
1280,Justin Woods,82,ÁGUA CLARA,MS,52631523962,54516070353045,True,True
1281,Anthony Robinson,62,ACORIZAL,MT,26309089846,37762768630637,True,True
1282,Bryan Webster,24,ABAETETUBA,PA,68371728590,63465686262305,True,True
1283,Molly White,50,ÁGUA BRANCA,PB,24137802467,02290442186818,True,True
1284,Brian Wilkerson Phd,37,ABREU E LIMA,PE,90054184789,31908822827095,True,True
1285,Angela Wong,43,ACAUÃ,PI,81190320800,51951283790903,True,True
1286,Stephen Turner,78,ABATIÁ,PR,86199703308,99570314733003,True,True
1287,Daniel Sullivan,63,ANGRA DOS REIS,RJ,88302209228,82610955090523,True,True
1288,Jennifer Davila,37,ACARI,RN,20531041980,45998229975953,True,True
1289,Amy Murray,79,ALTA FLORESTA D'OESTE,RO,86145424290,24636505216892,True,True
1290,Thomas Ross,83,AMAJARI,RR,55157567464,81213995326793,True,True
1291,Darrell Farmer,64,ACEGUÁ,RS,49614334037,23282029296989,True,True
1292,Shannon Coleman,66,ABDON BATISTA,SC,94598794976,58244281554197,True,True
1293,Bruce Acevedo,80,AMPARO DE SÃO FRANCISCO,SE,24687184103,18563404550736,True,True
1294,Evan Duffy,38,ADAMANTINA,SP,13815807263,54652472341575,True,True
1295,Kristen Lane,70,ABREULÂNDIA,TO,27440651022,92087501992771,True,True
1296,Sheena Rice,58,ACRELÂNDIA,AC,99381243808,76692806721213,True,True
1297,Carolyn Duran,84,ÁGUA BRANCA,AL,80180644076,65332772192571,True,True
1298,Barbara Gates,69,ALVARÃES,AM,99916005079,08984227286857,True,True
1299,Julie Jones,81,SERRA DO NAVIO,AP,52743340088,58967252964483,True,True
1300,James Beltran,20,ABAÍRA,BA,50513417303,15949726483780,True,True
1301,Sandra Foster,84,ABAIARA,CE,35234343430,81016404390372,True,True
1302,Jonathan Allen,45,BRASÍLIA,DF,74746839034,42440770385803,True,True
1303,Kimberly Davis,24,AFONSO CLÁUDIO,ES,13034817312,34488095335093,True,True
1304,Wayne Chapman,67,ABADIA DE GOIÁS,GO,06360859530,70554605498426,True,True
1305,Shannon Miller,48,AÇAILÂNDIA,MA,88952887506,72612141862216,True,True
1306,John Meza,48,ABADIA DOS DOURADOS,MG,64909711945,51123403121705,True,True
1307,Renee Aguilar,66,ÁGUA CLARA,MS,35215085285,68225890448395,True,True
1308,James Yates,46,ACORIZAL,MT,62975812582,47484165626480,True,True
1309,David Baker,57,ABAETETUBA,PA,98505394887,50279742395847,True,True
1310,Jeremy Newman,40,ÁGUA BRANCA,PB,52300169142,39379741435647,True,True
1311,Kristina Jenkins,47,ABREU E LIMA,PE,39145199400,18232110813757,True,True
1312,Leah Jordan,90,ACAUÃ,PI,19328080002,17419320006971,True,True
1313,Sara Soto,56,ABATIÁ,PR,16334675460,00191628242980,True,True
1314,Randall Rodriguez,27,ANGRA DOS REIS,RJ,95542327214,17287223268748,True,True
1315,Ashley Salazar,78,ACARI,RN,45425833172,00731280980889,True,True
1316,Justin Miller,87,ALTA FLORESTA D'OESTE,RO,89515714591,86619391072801,True,True
1317,Daniel Everett,49,AMAJARI,RR,26581429430,30474123744078,True,True
1318,Jasmine Watson,48,ACEGUÁ,RS,24507642329,71350358136680,True,True
1319,Virginia Richard,81,ABDON BATISTA,SC,98596295607,75000264756770,True,True
1320,Daniel Roberts,23,AMPARO DE SÃO FRANCISCO,SE,53859983032,16612334091283,True,True
1321,Anthony Christensen,41,ADAMANTINA,SP,23956218116,81328564055485,True,True
1322,Keith Haas,31,ABREULÂNDIA,TO,26028029726,53870199987506,True,True
1323,Elizabeth Gamble,88,ACRELÂNDIA,AC,12865827178,21050396396390,True,True
1324,Willie Richard,56,ÁGUA BRANCA,AL,92172948454,71091127118374,True,True
1325,Amanda Bush,66,ALVARÃES,AM,02332119507,43448562555913,True,True
1326,Pamela Costa,35,SERRA DO NAVIO,AP,74210108669,73942547368020,True,True
1327,Courtney Morales,81,ABAÍRA,BA,64873264618,62477843194660,True,True
1328,Joshua Benjamin,36,ABAIARA,CE,79843324870,65473080358700,True,True
1329,Kayla Martinez,60,BRASÍLIA,DF,43469461600,90527090440565,True,True
1330,Brian Wheeler,18,AFONSO CLÁUDIO,ES,80669774090,43812437212237,True,True
1331,Jeffrey Miranda,73,ABADIA DE GOIÁS,GO,34203007194,12512809954770,True,True
1332,Carlos Figueroa,49,AÇAILÂNDIA,MA,77026626701,36801121516313,True,True
1333,Elizabeth Taylor,42,ABADIA DOS DOURADOS,MG,02247972390,62193478797448,True,True
1334,James Golden,41,ÁGUA CLARA,MS,85971534408,09273434114909,True,True
1335,Vincent King,78,ACORIZAL,MT,53808528907,55747629773727,True,True
1336,Russell Knight,54,ABAETETUBA,PA,48903110250,68613891940562,True,True
1337,Adam Kennedy,27,ÁGUA BRANCA,PB,76458788940,68698328505366,True,True
1338,John Miller,35,ABREU E LIMA,PE,82553656998,64016130515367,True,True
1339,Jacqueline Macdonald,44,ACAUÃ,PI,98039926432,72871361878004,True,True
1340,James Schwartz,39,ABATIÁ,PR,94510780966,52239146186941,True,True
1341,Amanda King,76,ANGRA DOS REIS,RJ,06081345629,66680505041428,True,True
1342,Jordan Thompson,42,ACARI,RN,69726893763,81396947762251,True,True
1343,Carla Sharp,39,ALTA FLORESTA D'OESTE,RO,82626037028,40077856045442,True,True
1344,Amy Walters,36,AMAJARI,RR,28091330340,09918809234911,True,True
1345,Michelle Ramirez,23,ACEGUÁ,RS,58650375790,97866046502494,True,True
1346,Richard Lopez,18,ABDON BATISTA,SC,78683991806,29397762786930,True,True
